+6.70959e+09ns POS: x=210, y=10, z=0; VEL:0, y=50.2895, z=0
+6.80276e+09ns POS: x=210, y=14.6858, z=0; VEL:0, y=0, z=0
+6.80276e+09ns POS: x=210, y=14.6858, z=0; VEL:0, y=50, z=0
+6.89025e+09ns POS: x=179.333, y=170, z=0; VEL:0, y=0, z=0
+6.89025e+09ns POS: x=179.333, y=170, z=0; VEL:-50.0796, y=0, z=0
+7.07661e+09ns POS: x=170, y=170, z=0; VEL:0, y=0, z=0
+7.07661e+09ns POS: x=170, y=170, z=0; VEL:0, y=50.0796, z=0
+7.38946e+09ns POS: x=170, y=185.667, z=0; VEL:0, y=0, z=0
+7.38946e+09ns POS: x=170, y=185.667, z=0; VEL:0, y=50.0874, z=0
+7.47596e+09ns POS: x=170, y=190, z=0; VEL:0, y=0, z=0
+7.47596e+09ns POS: x=170, y=190, z=0; VEL:50.0874, y=0, z=0
+7.50276e+09ns POS: x=210, y=49.6858, z=0; VEL:0, y=0, z=0
+7.50276e+09ns POS: x=210, y=49.6858, z=0; VEL:0, y=50, z=0
+7.50905e+09ns POS: x=210, y=50, z=0; VEL:0, y=0, z=0
+7.50905e+09ns POS: x=210, y=50, z=0; VEL:-50, y=0, z=0
+7.68893e+09ns POS: x=180.667, y=190, z=0; VEL:0, y=0, z=0
+7.68893e+09ns POS: x=180.667, y=190, z=0; VEL:50, y=0, z=0
+7.87559e+09ns POS: x=190, y=190, z=0; VEL:0, y=0, z=0
+7.87559e+09ns POS: x=190, y=190, z=0; VEL:0, y=50, z=0
+7.88893e+09ns POS: x=190, y=190.667, z=0; VEL:0, y=0, z=0
+7.88893e+09ns POS: x=190, y=190.667, z=0; VEL:0, y=50, z=0
+7.90905e+09ns POS: x=190, y=50, z=0; VEL:0, y=0, z=0
+7.90905e+09ns POS: x=190, y=50, z=0; VEL:0, y=50, z=0
+8.27559e+09ns POS: x=190, y=210, z=0; VEL:0, y=0, z=0
+8.27559e+09ns POS: x=190, y=210, z=0; VEL:50, y=0, z=0
+8.30276e+09ns POS: x=190, y=69.6858, z=0; VEL:0, y=0, z=0
+8.30276e+09ns POS: x=190, y=69.6858, z=0; VEL:0, y=50.3745, z=0
+8.38893e+09ns POS: x=195.667, y=210, z=0; VEL:0, y=0, z=0
+8.38893e+09ns POS: x=195.667, y=210, z=0; VEL:50, y=0, z=0
+8.67559e+09ns POS: x=210, y=210, z=0; VEL:0, y=0, z=0
+8.67559e+09ns POS: x=210, y=210, z=0; VEL:0, y=-50, z=0
+8.78893e+09ns POS: x=210, y=204.333, z=0; VEL:0, y=0, z=0
+8.78893e+09ns POS: x=210, y=204.333, z=0; VEL:0, y=-50, z=0
+8.98893e+09ns POS: x=210, y=194.333, z=0; VEL:0, y=0, z=0
+8.98893e+09ns POS: x=210, y=194.333, z=0; VEL:0, y=-50.0389, z=0
+9.18878e+09ns POS: x=210, y=184.333, z=0; VEL:0, y=0, z=0
+9.18878e+09ns POS: x=210, y=184.333, z=0; VEL:0, y=-50, z=0
+9.58878e+09ns POS: x=210, y=164.333, z=0; VEL:0, y=0, z=0
+9.58878e+09ns POS: x=210, y=164.333, z=0; VEL:0, y=-50.1734, z=0
+9.5931e+09ns POS: x=190, y=134.686, z=0; VEL:0, y=0, z=0
+9.5931e+09ns POS: x=190, y=134.686, z=0; VEL:0, y=50.0754, z=0
+9.87444e+09ns POS: x=210, y=150, z=0; VEL:0, y=0, z=0
+9.87444e+09ns POS: x=210, y=150, z=0; VEL:-50.1734, y=0, z=0
+9.89265e+09ns POS: x=190, y=149.686, z=0; VEL:0, y=0, z=0
+9.89265e+09ns POS: x=190, y=149.686, z=0; VEL:0, y=50.0415, z=0
+9.89893e+09ns POS: x=190, y=150, z=0; VEL:0, y=0, z=0
+9.89893e+09ns POS: x=190, y=150, z=0; VEL:50.0415, y=0, z=0
+9.99256e+09ns POS: x=194.686, y=150, z=0; VEL:0, y=0, z=0
+9.99256e+09ns POS: x=194.686, y=150, z=0; VEL:50.062, y=0, z=0
+1.02985e+10ns POS: x=210, y=150, z=0; VEL:0, y=0, z=0
+1.02985e+10ns POS: x=210, y=150, z=0; VEL:0, y=-50.062, z=0
+1.04919e+10ns POS: x=210, y=140.314, z=0; VEL:0, y=0, z=0
+1.04919e+10ns POS: x=210, y=140.314, z=0; VEL:0, y=-50, z=0
+1.06919e+10ns POS: x=210, y=130.314, z=0; VEL:0, y=0, z=0
+1.06919e+10ns POS: x=210, y=130.314, z=0; VEL:0, y=-50, z=0
